content_id,value,context_code
1828,Capital Advanced Technologies,also_known_as
1829,Caplug,short_name
1829,Niagra Plastics,formerly_known_as
1829,Protective Industries Inc,also_known_as
1830,Captive Fasteners,also_known_as
1831,Cardinal,short_name
1831,Cardinal Components,also_known_as
1832,Carling,short_name
1832,Carlingswitch Inc,also_known_as
1832,Carling Technologies,also_known_as
1833,Carlo Gavazzi,previous_name_value
1833,Carlo Gavazzi,also_known_as
1834,Catalyst Semi,also_known_as
1834,Catalyst Semiconductor,also_known_as
1835,Catamount,short_name
1836,CDI Torque,short_name
1836,CDI Torque Products,also_known_as
1836,Consolidated Devices Inc,formerly_known_as
1837,CEC Industries,also_known_as
1837,CEC Industries,previous_name_value
1838,Central Semi,also_known_as
1839,Central Technologies,also_known_as
1839,CT Magnetics,also_known_as
1840,Century Container,also_known_as
1840,Century Container,previous_name_value
1841,Champion Technologies,previous_name_value
1841,Champion Technologies,also_known_as
1841,Ecolab,parent_of
1842,Cherry,short_name
1842,Cherry Americas LLC,also_known_as
1842,ZF Electronics Corporation,division_of
1843,Chicago International Industries,also_known_as
1844,Chipquik,short_name
1844,Chip Quik,short_name
1845,Chip Technologies,also_known_as
1846,Cii Continential,also_known_as
1846,Cii Relays,short_name
1846,Comm Instruments Inc,formerly_known_as
1847,AIM-Cambridge,brand_of
1847,Cinch,brand_of
1847,Cinch,short_name
1847,Fibrecco,brand_of
1847,Johnson,brand_of
1847,Midwest Microwave,brand_of
1847,Semflex,brand_of
1847,Stratos,brand_of
1847,Trompeter,brand_of
1847,Viewsonics,brand_of
1847,Vitelec,brand_of
1848,Circuit Assembly,also_known_as
1849,Cirronet,short_name
1850,Acoustic Technologies Inc,acquired_by
1850,Acumos Inc,acquired_by
1850,Apex Microtechnology Corporation,acquired_by
1850,Cirrus Logic,also_known_as
1850,Crystal LAN,brand_of
1850,Crystal Semiconductor Corporation,acquired_by
1850,PicoPower Technology Inc,acquired_by
1850,Thaler Corporation,acquired_by
1851,Cisco,short_name
1851,Cisco Systems,also_known_as
1851,Scientific Atlanta,acquired_by
1852,Citel,short_name
1854,Clare,short_name
1854,Clare Inc,formerly_known_as
1854,CP Clare,acquired_by
1855,Clarostat,short_name
1855,Honeywell / Clarostat,previous_name_value
1856,C-Mac,short_name
1856,C-MAC Automotive,also_known_as
1856,C-Mac Microtechnology,formerly_known_as
1856,C-MAC MicroTechnology,previous_name_value
1857,C-Max,short_name
1858,Chicago Miniature,also_known_as
1858,CML Technologies,also_known_as
1859,Coev,short_name
1860,Coherent Auburn,also_known_as
1860,Coherent Auburn Group - Instrument Divis,previous_name_value
1861,Coilcraft,short_name
1862,Coiltronics,short_name
1862,Coiltronics,brand_of
1862,Cooper Bussmann,formerly_known_as
1862,Cooper Bussmann Electronics,formerly_known_as
1863,Cologne Chip,also_known_as
1864,Comair Rotron,also_known_as
1865,Comchip,short_name
1865,Comchip Technology Corporation,previous_name_value
1866,Comclok,short_name
1867,Components Corporation,also_known_as
1868,Comus,short_name
1869,Concord,short_name
1869,Concord Electronics,also_known_as
1870,Condor,short_name
1870,SL Power Electronics / Condor,previous_name_value
1871,Conec,short_name
1872,Advanced Telecomunication Modules,merged_into
1872,Brooktree,acquired_by
1872,Conexant,short_name
1872,Globespan Virata,merged_into
1872,Rockwell Semiconductors,formerly_known_as
1872,Rockwell Semiconductor Systems Inc,also_known_as
1873,Conitec,short_name
1873,Conitec Datasystems,previous_name_value
1874,Connor Winfield,also_known_as
1874,Connor-Winfield,also_known_as
1875,Control Concepts,also_known_as
1875,Control Concepts Corporation,formerly_known_as
1875,Emerson Network Power,division_of
1875,Emerson Network Power Surge Protection Inc,previous_name_value
1876,Conxall,short_name
1876,Conxall,previous_name_value
1877,Cooper,short_name
1877,Cooper Hand Tools,previous_name_value
1878,Coiltronics Inductors and Transformers,brand_of
1878,Cooper Bussman - Circuit Proection & Connectors,brand_of
1878,Cooper Bussman - Electrical,brand_of
1878,Cooper Bussmann,also_known_as
1878,Cooper Bussmann - Consumer,brand_of
1878,Cooper Bussman - Transportation,brand_of
1878,Cooper Electronic Technologies,brand_of
1878,Edison,brand_of
1878,ELPRO Technologies,brand_of
1878,Fusetron,brand_of
1878,Limitron,brand_of
1878,Magnum,formerly_known_as
1878,OMNEX,brand_of
1878,OMNEX Control Systems,brand_of
1878,PolySurg,product_family
1878,PowerStor Supercapacitors,brand_of
1878,Sure Power,brand_of
1878,USD/Magnum,formerly_known_as
1879,Cooper Interconnect,also_known_as
1879,Eaton,parent_of
1879,Eaton Wiring Devices,parent_of
1879,Joy Cooper Interconnect,brand_of
1880,Copal,short_name
1880,Nidec Copal,previous_name_value
1881,Copeland Communications,also_known_as
1882,Corcom,short_name
1883,CDE,acronym
1883,Cornell Dubilier,also_known_as
1883,Cornell Dubilier Electronics,previous_name_value
1883,Mallory AC Capacitor LLC,acquired_by
1883,Mallory Capacitor,acquired_by
1883,SEMCO,acquired_by
1883,Silvered Electronic Mica Co,acquired_by
1884,Cornerstone Sensors,also_known_as
1885,Coto,short_name
1885,Coto Technology,previous_name_value
1885,Coto Technology,also_known_as
1886,CR Magnetics,also_known_as
1887,Cramer Coil and Transformer Company,also_known_as
1887,Cramer Coil Transformer,also_known_as
1888,Cramer,short_name
1889,Crane Connectors,also_known_as
1890,Cree,short_name
1890,Cree LED,also_known_as
1891,Crompton Electric Motors,formerly_known_as
1891,TE Connectivity / Crompton Electric Motors,previous_name_value
1892,Crydom,previous_name_value
1892,Crydom,short_name
1892,Crydom International Ltd,also_known_as
1893,Cambridge Silicon Radio,formerly_known_as
1893,CSR,short_name
1893,Oak Technology Inc,acquired_by
1893,SiRF Technology Inc,acquired_by
1893,Zoran Corporation,acquired_by
1894,CTI,short_name
1895,C-Ton Industries,also_known_as
1896,CTS,short_name
1896,CTS Corporation,also_known_as
1896,CTS Fordahl SA,acquired_by
1896,CTS Valpey Corporation,acquired_by
1897,CUI,short_name
1897,CUI Global Inc,division_of
1897,Tectrol Inc,acquired_by
1898,Curtis Industries,also_known_as
1898,Powers Holdings Inc,parent_of
1899,CCS,short_name
1899,Custom Computer Services,also_known_as
1899,Custom Computer Services Inc,also_known_as
1900,Custom Connector,also_known_as
1901,CW Industries,also_known_as
1902,C3 Components,also_known_as
1902,Cynergy3,short_name
1902,Cynergy3,previous_name_value
1903,Cypress,short_name
1903,Cypress Semiconductor,also_known_as
1903,FillFactory,acquired_by
1903,Galvantec Inc,acquired_by
1903,Galventech Inc,acquired_by
1903,IC Works Inc,acquired_by
1903,International Microcircuits Inc,acquired_by
1903,ScanLogic Corporation,acquired_by
1903,Simtek Corp,acquired_by
1903,Spansion,acquired_by
1904,Daburn,short_name
1905,Dagnall,short_name
1905,Dagnall Electronics,also_known_as
1906,Daico Industries,also_known_as
1907,Daniel Woodhead,also_known_as
1907,Woodhead,short_name
1907,Woodhead Industries Inc,also_known_as
1908,Daniels Manufacturing,also_known_as
1908,DMC,short_name
1909,Dantona,short_name
1909,Dantona Industries,previous_name_value
1909,Dantona Industries,also_known_as
1910,Carter Craft,brand_of
1910,Datak,short_name
1910,Datak Corporation,brand_of
1910,LKG Industries Inc,parent_of
1910,Pfanstiehl,brand_of
1910,Philmore,brand_of
1910,Philmore-Datak,also_known_as
1911,Davicom,short_name
1911,Davicom,previous_name_value
1912,David Clark,short_name
1913,Daka-Ware,trademark_of
1913,Davies Molding,also_known_as
1913,Davies Molding,previous_name_value
1914,Dearborn,short_name
1914,Dearborn Electronics,also_known_as
1915,Defender Security,also_known_as
1915,Prime-Line,parent_of
1916,Delphi Connection Systems,also_known_as
1916,Delphi Connector Systems,also_known_as
1916,Delphi Technologies,also_known_as
1916,Packard Electric,acquired_by
1917,Delta,short_name
1917,Fonsan,brand_of
